income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
36171,1,2,360,2,2,1,43,1,4,6,4.13
56000,1,2,360,2,1,2,27,1,4,1,4.25
89359,1,2,360,2,2,1,48,1,4,1,4.13
168114,2,2,360,2,2,2,49,1,4,1,4.13
46136,2,2,360,2,2,2,71,1,5,1,4.38
72000,1,2,360,2,1,1,29,1,5,1,4
154153,1,2,360,2,2,1,57,1,5,1,4
48222,2,2,240,2,2,1,58,1,5,11,4
76596,1,2,360,2,1,1,31,1,5,1,4
71532,1,2,360,2,1,1,36,1,5,1,4.25
79976,2,2,240,2,2,3,44,1,5,7,4
115824,1,2,360,2,2,2,44,1,5,7,4.25
72720,1,2,360,2,1,1,38,1,5,1,4.13
87912,2,2,240,2,2,2,45,1,5,1,3.75
76025,1,2,360,2,1,1,49,1,5,1,4
173364,1,2,360,2,2,1,42,1,5,1,4.25
76960,2,2,360,2,2,2,49,1,4,1,4.5
161413,2,2,240,2,2,2,54,1,3,1,4.25
183271,2,2,300,2,2,1,49,1,3,1,4.25
158850,2,2,240,2,2,1,46,1,2,1,4.13
124446,2,2,240,2,2,1,54,1,4,1,3.88
75080,1,2,360,2,2,1,37,1,3,1,4
140660,2,2,180,2,2,1,56,1,5,1,3.13
95249,2,2,360,2,2,1,57,1,2,1,4.63
104019,1,2,360,2,2,2,36,1,5,1,4
97714,1,2,360,2,1,1,45,1,5,12,4
169675,2,2,360,2,2,1,41,1,4,1,4.25
85645,1,2,360,2,1,1,39,1,4,1,4.38
139488,2,2,240,2,2,1,48,1,4,12,4.13
82980,2,2,360,2,2,1,51,1,5,1,4.13
100608,1,2,360,2,1,2,29,1,4,1,4.38
70758,1,2,360,2,2,2,36,1,4,1,4
117121,1,2,360,2,2,1,27,1,5,1,4
250740,1,2,360,2,2,1,53,1,5,1,3.88
104989,1,2,360,2,1,2,32,1,5,1,4.13
144780,2,2,360,2,2,1,31,1,4,1,4.38
71370,2,2,360,2,2,1,52,2,3,1,4.25
189971,1,2,360,2,2,1,41,1,5,1,4.13
179055,1,2,360,2,2,2,34,1,5,1,4.25
114550,2,2,360,2,2,1,53,1,5,1,4.38
111491,1,2,360,2,1,1,27,1,4,1,4.25
86769,1,2,360,2,1,1,29,1,4,1,4.38
197832,1,2,180,2,1,1,38,1,4,1,3
77702,1,2,360,2,2,1,29,1,5,1,4.13
231792,1,2,180,2,2,2,42,1,5,7,3.25
198984,1,2,360,2,2,2,27,1,3,1,4.75
110964,1,2,360,2,1,1,27,1,5,1,3.88
99778,1,2,360,2,1,1,31,1,5,1,4.13
185584,1,2,360,2,2,2,61,1,5,1,4.25
201912,2,2,360,2,2,2,33,1,5,1,4.13
180000,2,2,360,2,2,1,43,1,5,1,4.25
217536,2,2,180,2,2,1,55,1,4,1,3.25
176304,1,2,360,2,2,1,29,1,5,1,4.13
101921,2,2,360,2,2,1,54,1,4,1,4.13
120684,1,2,360,2,1,1,26,1,4,1,4.13
37932,2,2,360,2,2,1,68,2,4,1,4.25
107568,1,2,360,2,1,1,34,1,4,1,4.25
60811,1,2,360,2,1,2,33,1,5,11,4.13
112667,2,2,360,2,2,1,46,1,5,1,4
150300,1,2,180,2,2,1,63,1,5,1,3.38
104000,1,2,360,2,2,1,45,1,5,6,4.38
184000,1,2,180,2,1,2,37,1,5,1,3.25
143713,1,2,180,2,2,3,61,2,5,1,3.38
52107,1,2,360,2,2,2,73,1,5,1,4.13
141996,1,2,360,2,2,1,40,1,5,7,4.13
114793,1,2,360,2,1,1,48,1,5,1,4.13
191076,1,2,360,2,1,1,32,1,5,1,4
182348,1,2,360,2,1,1,44,1,5,2,3.88
88019,1,2,360,2,1,2,41,1,5,1,4.25
49625,1,2,360,2,1,2,54,1,3,1,4.25
48852,1,2,360,2,2,1,60,1,5,1,4.13
407136,1,2,180,2,1,1,41,1,5,1,3
124428,1,2,360,2,1,3,39,1,5,1,3.88
95441,2,2,360,2,2,1,61,1,5,7,4.25
313488,1,2,180,2,2,1,55,1,5,1,3.13
218676,1,2,180,2,1,2,33,1,5,1,3
135960,1,2,240,2,1,1,52,1,3,1,3.88
64848,2,2,180,2,2,1,69,1,3,1,3.25
106051,2,2,240,2,2,1,61,1,5,1,3.63
77268,2,2,300,2,2,1,64,2,5,1,4.5
49974,2,2,360,2,2,1,60,1,5,1,4.38
242928,1,2,360,2,2,2,45,1,5,1,4.13
162799,2,2,360,2,2,1,47,1,5,1,4.38
